,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
52,Analysis/Voice/2025/04/07/a4437b5c-b97e-43de-9ba2-2ae4338a16b5_analysis_2025-04-07T22:00:44Z.json,a4437b5c-b97e-43de-9ba2-2ae4338a16b5,2025-04-07 22:00:44,2025-04-07,22:00:44,2025-04-07 22:06:15+00:00,2025-04-07,22:06:15,2025-04-07 22:00:00
51,Analysis/Voice/2025/04/07/88d3ea79-b615-4563-b318-0b9df8c4de86_analysis_2025-04-07T22:00:16Z.json,88d3ea79-b615-4563-b318-0b9df8c4de86,2025-04-07 22:00:16,2025-04-07,22:00:16,2025-04-07 22:04:08+00:00,2025-04-07,22:04:08,2025-04-07 22:00:00
72,Analysis/Voice/2025/04/07/ae7133fa-b53f-4ae8-97f7-1628b9719d6f_analysis_2025-04-07T21:59:46Z.json,ae7133fa-b53f-4ae8-97f7-1628b9719d6f,2025-04-07 21:59:46,2025-04-07,21:59:46,2025-04-07 22:05:57+00:00,2025-04-07,22:05:57,2025-04-07 20:00:00
73,Analysis/Voice/2025/04/07/184ab1ff-c6f4-44c3-b296-c0e54e73d99b_analysis_2025-04-07T21:59:21Z.json,184ab1ff-c6f4-44c3-b296-c0e54e73d99b,2025-04-07 21:59:21,2025-04-07,21:59:21,2025-04-07 22:06:18+00:00,2025-04-07,22:06:18,2025-04-07 20:00:00
74,Analysis/Voice/2025/04/07/777526a4-8e75-4cb0-bded-af85bade32a5_analysis_2025-04-07T21:58:44Z.json,777526a4-8e75-4cb0-bded-af85bade32a5,2025-04-07 21:58:44,2025-04-07,21:58:44,2025-04-07 22:05:09+00:00,2025-04-07,22:05:09,2025-04-07 20:00:00
75,Analysis/Voice/2025/04/07/eb949f1b-0602-463e-93ea-69933e1c356e_analysis_2025-04-07T21:57:37Z.json,eb949f1b-0602-463e-93ea-69933e1c356e,2025-04-07 21:57:37,2025-04-07,21:57:37,2025-04-07 22:03:36+00:00,2025-04-07,22:03:36,2025-04-07 20:00:00
97,Analysis/Voice/2025/04/07/0f655265-687d-45d3-accd-620fd46223da_analysis_2025-04-07T21:56:52Z.json,0f655265-687d-45d3-accd-620fd46223da,2025-04-07 21:56:52,2025-04-07,21:56:52,2025-04-07 22:02:08+00:00,2025-04-07,22:02:08,2025-04-07 20:00:00
96,Analysis/Voice/2025/04/07/3ce13e24-e14f-4cd1-a19e-6b098fcec619_analysis_2025-04-07T21:54:47Z.json,3ce13e24-e14f-4cd1-a19e-6b098fcec619,2025-04-07 21:54:47,2025-04-07,21:54:47,2025-04-07 22:00:43+00:00,2025-04-07,22:00:43,2025-04-07 20:00:00
95,Analysis/Voice/2025/04/07/751a66ad-cc67-4895-aae7-9c780c680526_analysis_2025-04-07T21:54:06Z.json,751a66ad-cc67-4895-aae7-9c780c680526,2025-04-07 21:54:06,2025-04-07,21:54:06,2025-04-07 21:58:59+00:00,2025-04-07,21:58:59,2025-04-07 20:00:00
94,Analysis/Voice/2025/04/07/2928f13e-e174-4b48-a0de-b467a956e87d_analysis_2025-04-07T21:53:38Z.json,2928f13e-e174-4b48-a0de-b467a956e87d,2025-04-07 21:53:38,2025-04-07,21:53:38,2025-04-07 22:00:05+00:00,2025-04-07,22:00:05,2025-04-07 20:00:00
93,Analysis/Voice/2025/04/07/76da8096-6a17-4e7c-b754-af92f07ce656_analysis_2025-04-07T21:52:27Z.json,76da8096-6a17-4e7c-b754-af92f07ce656,2025-04-07 21:52:27,2025-04-07,21:52:27,2025-04-07 21:58:22+00:00,2025-04-07,21:58:22,2025-04-07 20:00:00
92,Analysis/Voice/2025/04/07/4ae44c37-d4dd-46cc-97f8-6f5faa14384f_analysis_2025-04-07T21:47:48Z.json,4ae44c37-d4dd-46cc-97f8-6f5faa14384f,2025-04-07 21:47:48,2025-04-07,21:47:48,2025-04-07 21:55:17+00:00,2025-04-07,21:55:17,2025-04-07 20:00:00
91,Analysis/Voice/2025/04/07/cc7cea44-7eba-4bfd-adf8-61e707b08354_analysis_2025-04-07T21:46:48Z.json,cc7cea44-7eba-4bfd-adf8-61e707b08354,2025-04-07 21:46:48,2025-04-07,21:46:48,2025-04-07 21:52:56+00:00,2025-04-07,21:52:56,2025-04-07 20:00:00
90,Analysis/Voice/2025/04/07/36fc9e62-de54-4eb4-8640-947294865f9e_analysis_2025-04-07T21:46:32Z.json,36fc9e62-de54-4eb4-8640-947294865f9e,2025-04-07 21:46:32,2025-04-07,21:46:32,2025-04-07 21:53:28+00:00,2025-04-07,21:53:28,2025-04-07 20:00:00
89,Analysis/Voice/2025/04/07/72abdd6e-7261-4661-b8ff-3cbf3dc1e0b7_analysis_2025-04-07T21:46:05Z.json,72abdd6e-7261-4661-b8ff-3cbf3dc1e0b7,2025-04-07 21:46:05,2025-04-07,21:46:05,2025-04-07 21:52:00+00:00,2025-04-07,21:52:00,2025-04-07 20:00:00
88,Analysis/Voice/2025/04/07/ee49368f-6d85-4578-b6b4-f921b1afd97b_analysis_2025-04-07T21:45:13Z.json,ee49368f-6d85-4578-b6b4-f921b1afd97b,2025-04-07 21:45:13,2025-04-07,21:45:13,2025-04-07 21:51:32+00:00,2025-04-07,21:51:32,2025-04-07 20:00:00
98,Analysis/Voice/2025/04/07/705e8a1b-bb65-4f07-af38-0a7c3335ba03_analysis_2025-04-07T21:43:46Z.json,705e8a1b-bb65-4f07-af38-0a7c3335ba03,2025-04-07 21:43:46,2025-04-07,21:43:46,2025-04-07 21:49:48+00:00,2025-04-07,21:49:48,2025-04-07 20:00:00
87,Analysis/Voice/2025/04/07/b46bc8f3-fa23-4686-9e9f-31bf27c8f127_analysis_2025-04-07T21:41:25Z.json,b46bc8f3-fa23-4686-9e9f-31bf27c8f127,2025-04-07 21:41:25,2025-04-07,21:41:25,2025-04-07 21:45:28+00:00,2025-04-07,21:45:28,2025-04-07 20:00:00
